SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
3MINDIA, EQ, 23-Sep-2021,24724.35,24836.6,25570.0,24701.25, 25000.00,25019.9,25164.87,7564,4998, 4322, 57.14
AARTIDRUGS, EQ, 23-Sep-2021,621.6,623.9,626.65,617.8, 620.95,619.55,621.57,120387,6554, 57944, 48.13
AARTIIND, EQ, 23-Sep-2021,915.3,925.0,928.95,914.5, 918.85,918.05,921.47,592897,18142, 272972, 46.04
AAVAS, EQ, 23-Sep-2021,2414.0,2449.0,2609.0,2429.15, 2557.00,2562.65,2546.58,225411,36211, 106371, 47.19
ABB, EQ, 23-Sep-2021,1869.15,1890.0,1905.9,1857.0, 1890.00,1898.1,1885.79,119769,12658, 67149, 56.07
ABCAPITAL, EQ, 23-Sep-2021,109.95,111.9,115.3,111.6, 113.00,113.1,113.59,7076525,48493, 2892985, 40.88
ABFRL, EQ, 23-Sep-2021,214.6,216.65,227.6,213.1, 219.10,218.6,221.22,6977410,47735, 2365894, 33.91
ACC, EQ, 23-Sep-2021,2365.55,2375.0,2380.5,2340.05, 2351.00,2351.05,2353.21,380958,33169, 178657, 46.90
ACCELYA, EQ, 23-Sep-2021,1342.35,1350.0,1367.75,1333.05, 1340.00,1351.6,1349.46,51216,6546, 26958, 52.64
ACE, EQ, 23-Sep-2021,267.15,268.6,278.95,265.5, 270.45,270.3,271.68,1642018,37187, 535479, 32.61
ADANIENT, EQ, 23-Sep-2021,1437.75,1453.0,1480.0,1441.1, 1475.60,1474.35,1466.34,1622616,39558, 397161, 24.48
ADANIPORTS, EQ, 23-Sep-2021,745.3,754.4,760.0,750.55, 754.00,754.5,755.01,3526253,62096, 735402, 20.86
ADFFOODS, EQ, 23-Sep-2021,923.7,933.0,933.0,903.9, 904.50,921.4,920.53,10097,1535, 7074, 70.06
ADVENZYMES, EQ, 23-Sep-2021,390.6,393.0,394.95,385.75, 387.30,387.35,389.35,203092,7198, 100257, 49.37
AEGISCHEM, EQ, 23-Sep-2021,239.05,241.0,242.5,235.85, 238.35,238.65,238.93,796003,18236, 403593, 50.70
AHLUCONT, EQ, 23-Sep-2021,364.35,369.0,380.0,368.0, 374.00,374.05,372.96,384931,9478, 133703, 34.73
AIAENG, EQ, 23-Sep-2021,2025.8,2025.5,2040.9,1989.3, 2020.00,2006.85,2003.58,90650,7344, 72826, 80.34
AJANTPHARM, EQ, 23-Sep-2021,2177.55,2156.0,2193.25,2156.0, 2185.00,2183.85,2182.64,32317,6152, 16974, 52.52
AKZOINDIA, EQ, 23-Sep-2021,2201.85,2212.0,2217.55,2184.05, 2197.00,2199.35,2200.56,6705,1377, 4126, 61.54
ALEMBICLTD, EQ, 23-Sep-2021,115.95,116.85,125.0,116.0, 120.75,120.5,121.35,1941729,20238, 522773, 26.92
ALKEM, EQ, 23-Sep-2021,3894.6,3893.0,3978.85,3876.25, 3957.00,3963.2,3938.27,165195,15439, 57195, 34.62
ALKYLAMINE, EQ, 23-Sep-2021,3903.25,3922.1,3960.0,3871.7, 3928.00,3918.75,3932.74,75475,12121, 44668, 59.18
ALLCARGO, EQ, 23-Sep-2021,262.85,264.75,265.0,256.0, 257.80,257.6,259.18,1067052,12867, 561318, 52.60
ALOKINDS, EQ, 23-Sep-2021,23.1,23.35,23.45,22.95, 23.00,23.0,23.19,4588940,7781, 2119517, 46.19
AMARAJABAT, EQ, 23-Sep-2021,735.75,739.6,740.0,732.9, 734.60,736.3,736.78,494836,15790, 242441, 48.99
AMBER, EQ, 23-Sep-2021,3093.1,3120.0,3169.9,3107.6, 3135.00,3132.05,3134.34,31042,5658, 13097, 42.19
AMBUJACEM, EQ, 23-Sep-2021,419.5,421.9,422.9,415.1, 418.55,419.55,418.28,2177190,34128, 1027386, 47.19
AMRUTANJAN, EQ, 23-Sep-2021,835.25,843.0,862.0,815.1, 820.00,821.3,841.24,332879,20776, 117515, 35.30
ANURAS, EQ, 23-Sep-2021,756.45,759.9,769.75,742.0, 744.00,744.9,752.5,74789,4505, 48401, 64.72
APARINDS, EQ, 23-Sep-2021,647.45,658.8,670.0,648.65, 655.00,652.65,658.72,57485,6657, 21750, 37.84
APLAPOLLO, EQ, 23-Sep-2021,879.35,887.4,920.0,885.6, 918.00,913.75,909.39,203836,11940, 118216, 58.00
APLLTD, EQ, 23-Sep-2021,813.35,820.35,839.55,810.6, 818.45,820.25,824.81,807108,26389, 205949, 25.52
APOLLOHOSP, EQ, 23-Sep-2021,4904.9,4931.4,5134.0,4905.0, 5129.00,5084.2,5011.95,696944,68484, 289486, 41.54
APOLLOPIPE, EQ, 23-Sep-2021,1654.7,1669.75,1686.0,1642.4, 1663.00,1658.1,1661.64,89305,3813, 71255, 79.79
APOLLOTYRE, EQ, 23-Sep-2021,232.55,234.65,239.85,233.45, 236.60,236.95,237.14,8364323,74262, 3104503, 37.12
ARVIND, EQ, 23-Sep-2021,97.1,97.7,101.85,96.9, 97.60,97.6,99.22,3549375,24450, 1514004, 42.66
ARVINDFASN, EQ, 23-Sep-2021,266.45,268.0,274.5,262.2, 262.60,264.4,269.62,607928,13077, 223821, 36.82
ASAHIINDIA, EQ, 23-Sep-2021,358.2,359.95,365.8,357.95, 359.05,359.2,361.54,28827,2033, 11491, 39.86
ASHIANA, EQ, 23-Sep-2021,197.2,199.2,209.9,196.5, 198.70,199.9,202.03,800379,19393, 367806, 45.95
ASHOKA, EQ, 23-Sep-2021,94.9,96.5,100.0,96.0, 99.45,99.35,98.23,2760733,31902, 1627590, 58.95
ASHOKLEY, EQ, 23-Sep-2021,128.3,129.5,130.95,128.5, 128.90,128.85,129.48,12517143,70498, 5582402, 44.60
ASIANPAINT, EQ, 23-Sep-2021,3317.5,3340.0,3340.0,3315.0, 3326.00,3320.65,3325.31,694716,52934, 448220, 64.52
ASTEC, EQ, 23-Sep-2021,1330.1,1358.0,1360.0,1322.0, 1327.35,1333.9,1340.99,14060,2450, 6428, 45.72
ASTERDM, EQ, 23-Sep-2021,209.2,210.95,214.8,208.1, 212.00,209.95,212.08,773122,13037, 229432, 29.68
ASTRAL, EQ, 23-Sep-2021,2130.0,2146.35,2150.0,2080.05, 2109.00,2109.75,2121.12,452222,28926, 242432, 53.61
ASTRAZEN, EQ, 23-Sep-2021,3097.1,3108.0,3123.3,3091.0, 3100.00,3097.95,3100.94,13452,2239, 7422, 55.17
ATFL, EQ, 23-Sep-2021,1011.7,1038.0,1038.0,1015.4, 1015.40,1019.1,1022.16,4522,1100, 2203, 48.72
ATUL, EQ, 23-Sep-2021,9459.7,9548.0,9665.0,9466.1, 9565.00,9602.4,9589.68,16025,5212, 10636, 66.37
AUBANK, EQ, 23-Sep-2021,1085.0,1093.8,1128.3,1088.0, 1107.00,1103.55,1106.71,1486087,67866, 424508, 28.57
AUROPHARMA, EQ, 23-Sep-2021,731.1,739.0,739.0,727.6, 732.00,733.45,732.34,2015529,79602, 1017705, 50.49
AUTOAXLES, EQ, 23-Sep-2021,1209.9,1215.95,1250.0,1215.95, 1220.00,1221.6,1233.64,13514,2022, 4299, 31.81
AVANTIFEED, EQ, 23-Sep-2021,548.85,551.8,556.0,549.0, 550.65,550.8,553.39,213748,14307, 130010, 60.82
AXISBANK, EQ, 23-Sep-2021,788.35,794.35,814.5,792.55, 813.00,812.15,809.49,9043492,164304, 3832418, 42.38
BAJAJ-AUTO, EQ, 23-Sep-2021,3757.15,3757.15,3820.0,3757.15, 3795.00,3799.2,3795.45,228970,21967, 75242, 32.86
BAJAJCON, EQ, 23-Sep-2021,257.05,259.0,264.45,258.1, 260.50,259.9,260.54,628336,13564, 288974, 45.99
BAJAJELEC, EQ, 23-Sep-2021,1513.45,1519.95,1553.9,1519.0, 1533.50,1531.8,1535.48,202552,15141, 59291, 29.27
BAJAJFINSV, EQ, 23-Sep-2021,17614.75,17787.5,18750.0,17682.05, 18430.00,18503.85,18401.97,712551,109610, 60107, 8.44
BAJAJHLDNG, EQ, 23-Sep-2021,4719.2,4760.0,4981.25,4706.5, 4950.00,4952.0,4885.18,233872,31231, 48284, 20.65
BAJFINANCE, EQ, 23-Sep-2021,7793.65,7863.6,7999.0,7804.65, 7890.05,7899.05,7914.73,2109147,160052, 731590, 34.69
BALAMINES, EQ, 23-Sep-2021,4650.3,4667.8,4715.0,4651.15, 4675.00,4673.95,4686.53,50848,7144, 22246, 43.75
BALKRISIND, EQ, 23-Sep-2021,2692.2,2718.9,2723.8,2634.15, 2645.95,2648.55,2663.47,390853,33687, 134319, 34.37
BALMLAWRIE, EQ, 23-Sep-2021,129.55,130.55,131.5,128.85, 129.30,129.1,129.92,257636,3347, 143426, 55.67
BALRAMCHIN, EQ, 23-Sep-2021,345.75,348.0,349.9,343.15, 348.40,347.75,345.89,988085,10463, 740816, 74.97
BANARISUG, EQ, 23-Sep-2021,2231.6,2285.0,2285.0,2155.3, 2155.30,2169.65,2217.77,6476,1282, 2228, 34.40
BANDHANBNK, EQ, 23-Sep-2021,284.0,285.75,291.75,285.1, 288.40,288.75,288.35,3689529,55757, 1521382, 41.24
BANKBARODA, EQ, 23-Sep-2021,79.7,80.2,81.1,79.45, 79.60,79.65,80.24,20391244,52842, 6517973, 31.96
BANKINDIA, EQ, 23-Sep-2021,54.5,55.25,55.75,54.4, 54.65,54.6,55.01,5921861,21227, 2838302, 47.93
BASF, EQ, 23-Sep-2021,3396.1,3447.9,3520.0,3401.3, 3435.00,3431.7,3471.58,75840,10034, 24772, 32.66
BATAINDIA, EQ, 23-Sep-2021,1798.85,1823.0,1823.0,1789.0, 1796.05,1798.7,1800.76,464840,20587, 225318, 48.47
BBTC, EQ, 23-Sep-2021,1159.75,1162.0,1194.4,1160.2, 1162.30,1164.65,1175.75,72465,5365, 30148, 41.60
BDL, EQ, 23-Sep-2021,382.5,384.8,393.85,384.8, 389.15,389.65,389.92,203026,5354, 144223, 71.04
BECTORFOOD, EQ, 23-Sep-2021,398.3,399.95,412.45,399.95, 411.40,410.25,407.6,187365,8245, 98405, 52.52
BEL, EQ, 23-Sep-2021,205.95,207.0,210.7,206.55, 207.40,207.45,208.45,6459882,41374, 3097851, 47.96
BEML, EQ, 23-Sep-2021,1407.6,1415.0,1428.2,1382.1, 1388.00,1388.4,1400.36,171054,11125, 76552, 44.75
BEPL, EQ, 23-Sep-2021,190.75,192.5,194.75,187.35, 188.60,189.1,190.38,1271952,16886, 463355, 36.43
BERGEPAINT, EQ, 23-Sep-2021,812.0,813.9,824.85,813.0, 822.00,821.1,821.09,556587,17840, 167810, 30.15
BHARATFORG, EQ, 23-Sep-2021,740.85,742.55,767.65,742.55, 765.00,764.3,757.57,1539670,34919, 621093, 40.34
BHARATRAS, EQ, 23-Sep-2021,12228.45,12378.0,12600.0,12259.1, 12440.00,12439.5,12422.48,2569,1567, 976, 37.99
BHARTIARTL, EQ, 23-Sep-2021,726.75,733.4,740.1,723.2, 726.95,726.8,729.9,26009026,180792, 15817212, 60.81
BHEL, EQ, 23-Sep-2021,57.05,57.5,58.05,57.0, 57.05,57.15,57.39,22157667,40240, 4335608, 19.57
BIOCON, EQ, 23-Sep-2021,367.55,369.0,371.8,366.55, 367.05,368.2,369.04,1257724,18670, 343253, 27.29
BIRLACORPN, EQ, 23-Sep-2021,1321.5,1335.0,1335.0,1296.0, 1304.00,1304.25,1315.69,165369,15013, 121687, 73.59
BLUEDART, EQ, 23-Sep-2021,6421.2,6460.0,6544.0,6375.0, 6440.00,6445.1,6457.45,32976,7651, 12459, 37.78
BLUESTARCO, EQ, 23-Sep-2021,849.95,856.9,872.0,843.65, 871.65,850.4,850.39,2451182,5205, 40442, 1.65
BOMDYEING, EQ, 23-Sep-2021,93.9,94.7,98.0,94.65, 95.25,95.6,96.25,4420400,24083, 986792, 22.32
BOSCHLTD, EQ, 23-Sep-2021,15301.5,15342.0,15474.25,15220.0, 15374.00,15369.3,15350.9,40458,8993, 19143, 47.32
BPCL, EQ, 23-Sep-2021,420.15,423.15,424.3,417.15, 419.55,419.95,420.06,5884558,83802, 3307435, 56.21
BRIGADE, EQ, 23-Sep-2021,407.15,407.5,439.0,401.3, 421.00,420.8,423.91,3422675,74123, 653355, 19.09
BRITANNIA, EQ, 23-Sep-2021,4058.5,4060.0,4075.45,4017.5, 4048.95,4042.35,4036.08,322858,22489, 215736, 66.82
BSE, EQ, 23-Sep-2021,1170.2,1175.0,1200.0,1172.0, 1183.00,1182.85,1184.79,279381,15365, 116228, 41.60
